stakeholders,method,worst_regret,mean_regret,gini
3,Rawls-LUR,0.18278595345559212,0.1389451772479283,0.18338569515283876
3,AvgUtil,0.22727123264997945,0.12862285934398446,0.35441178446641425
3,Nash,0.21498991763963726,0.1266598946645062,0.3329083738458775
3,MaxMin,0.20844185175083543,0.14702003288180626,0.22408274940756448
5,Rawls-LUR,0.2507070350967807,0.17008681876023485,0.20753991725468737
5,AvgUtil,0.3352467266597893,0.15105154384523534,0.3773308548498347
5,Nash,0.2948592760820822,0.14989292397721393,0.3251739815937169
5,MaxMin,0.26595574379186054,0.17388084418103283,0.22615214015312696
10,Rawls-LUR,0.49377695242739783,0.31160171000275383,0.24059230769031031
10,AvgUtil,0.6537550284489677,0.24373468614841412,0.4626311486256255
10,Nash,0.5687808356685583,0.2558130191283759,0.3808255527352327
10,MaxMin,0.536043140181357,0.3401637264744321,0.22837220119427384
20,Rawls-LUR,0.5221338291633445,0.3636475512834886,0.19625973145645784
20,AvgUtil,0.6977816907695602,0.2536033712619835,0.432552603894941
20,Nash,0.6079917814438935,0.2714446455544125,0.3482677749658878
20,MaxMin,0.5711800621682219,0.394767984212567,0.16530054724003623
