winner_agreement,tolerance_jaccard,worst_regret_gap,certificate_sup_norm_gap,probes_adaptive,probes_full,time_adaptive,time_full,m,geometry,replication,theta
1,1.0,0.0,0.0,4,4,0.0006888339994475245,0.00036258401814848185,2,linear,0,0.3
1,1.0,0.0,0.0,4,4,0.00038033403689041734,0.00033312500454485416,2,linear,0,0.5
1,1.0,0.0,0.0,4,4,0.0003647499834187329,0.00037475000135600567,2,linear,0,0.6
1,1.0,0.0,0.0,4,4,0.0004076670156791806,0.00033950002398341894,2,linear,0,0.7
1,1.0,0.0,0.0,4,4,0.0003717090003192425,0.0003221659571863711,2,linear,0,0.9
1,1.0,0.0,0.0,4,4,0.00036758300848305225,0.0003261249512434006,2,linear,1,0.3
1,1.0,0.0,0.0,4,4,0.0003570839762687683,0.00032245798502117395,2,linear,1,0.5
1,1.0,0.0,0.0,4,4,0.0003745409776456654,0.0003206669935025275,2,linear,1,0.6
1,1.0,0.0,0.0,4,4,0.00035500002559274435,0.0003177500329911709,2,linear,1,0.7
1,1.0,0.0,0.0,4,4,0.0003525829524733126,0.000317084020934999,2,linear,1,0.9
1,1.0,0.0,0.0,4,4,0.0003750829491764307,0.00032049999572336674,2,linear,2,0.3
1,1.0,0.0,0.0,4,4,0.0003587920218706131,0.0003266669809818268,2,linear,2,0.5
1,1.0,0.0,0.0,4,4,0.00035991601180285215,0.00031887501245364547,2,linear,2,0.6
1,1.0,0.0,0.0,4,4,0.0003504590131342411,0.0003142920322716236,2,linear,2,0.7
1,1.0,0.0,0.0,4,4,0.0003458330174908042,0.0003197910264134407,2,linear,2,0.9
1,1.0,0.0,0.0,4,4,0.00036179099697619677,0.0003181659849360585,2,linear,3,0.3
1,1.0,0.0,0.0,4,4,0.00034837500425055623,0.00032045802799984813,2,linear,3,0.5
1,1.0,0.0,0.0,4,4,0.0003482920001260936,0.00031512504210695624,2,linear,3,0.6
1,1.0,0.0,0.0,4,4,0.0003559170290827751,0.0003189590061083436,2,linear,3,0.7
1,1.0,0.0,0.0,4,4,0.00034683302510529757,0.00031695800134912133,2,linear,3,0.9
1,1.0,0.0,0.0,4,4,0.0003501249593682587,0.00031458301236853004,2,linear,4,0.3
1,1.0,0.0,0.0,4,4,0.00034620799124240875,0.00033962499583140016,2,linear,4,0.5
1,1.0,0.0,0.0,4,4,0.00034445797791704535,0.00038658402627334,2,linear,4,0.6
1,1.0,0.0,0.0,4,4,0.00035245897015556693,0.0003251250018365681,2,linear,4,0.7
1,1.0,0.0,0.0,4,4,0.0003484579501673579,0.00032070802990347147,2,linear,4,0.9
1,1.0,0.0,0.0,4,4,0.00036933296360075474,0.00032950000604614615,2,linear,5,0.3
1,1.0,0.0,0.0,4,4,0.00034912500996142626,0.0003226249828003347,2,linear,5,0.5
1,1.0,0.0,0.0,4,4,0.0003664999967440963,0.00032962497789412737,2,linear,5,0.6
