method,grouped_loss,tail_loss
TOPSIS,0.3176718598732742,0.4302306928274944
CP,0.3007451778873537,0.3887982395312427
VIKOR,0.27180026181327765,0.3823525111991792
Knee,0.31641586598745347,0.43207852714577344
HV,0.3151457258111198,0.39339683808728104
RW,0.3784396724335363,0.5319488507957175
ASF,0.25425680476650603,0.42089528455414776
SMAA,0.38092653336427973,0.5354522809346441
MMR,0.3023581611204541,0.3937191884168829
ChebMMR,0.2687164530899768,0.4259920221510605
LUR,0.2555360291016036,0.41612591106999486
