config,geometry,replication,method,grouped_loss,tail_loss
"R1 (5 groups, m=10)",linear,0,TOPSIS,0.38636074632514,0.49251227325951324
"R1 (5 groups, m=10)",linear,1,TOPSIS,0.3462665337887976,0.3951187015646931
"R1 (5 groups, m=10)",linear,2,TOPSIS,0.33467625690519925,0.35193283850077833
"R1 (5 groups, m=10)",linear,3,TOPSIS,0.37335453360460663,0.2529037050096203
"R1 (5 groups, m=10)",linear,4,TOPSIS,0.2877583614088892,0.3050822084428168
"R1 (5 groups, m=10)",linear,5,TOPSIS,0.4110866565428592,0.43894442086388086
"R1 (5 groups, m=10)",linear,6,TOPSIS,0.31035180727976347,0.2899815411070202
"R1 (5 groups, m=10)",linear,7,TOPSIS,0.42876223033810373,0.3808148061282532
"R1 (5 groups, m=10)",linear,8,TOPSIS,0.32072970329036893,0.3516991317226976
"R1 (5 groups, m=10)",linear,9,TOPSIS,0.4419218569090335,0.5448464578190589
"R1 (5 groups, m=10)",linear,10,TOPSIS,0.40282569488428943,0.3890014398800424
"R1 (5 groups, m=10)",linear,11,TOPSIS,0.3950287348573598,0.5196930293286465
"R1 (5 groups, m=10)",linear,12,TOPSIS,0.17941690338880636,0.349624955464499
"R1 (5 groups, m=10)",linear,13,TOPSIS,0.3534369073224722,0.41942668830782914
"R1 (5 groups, m=10)",linear,14,TOPSIS,0.38473330267115374,0.41508188631617726
"R1 (5 groups, m=10)",linear,15,TOPSIS,0.2701586975884653,0.3509470621988078
"R1 (5 groups, m=10)",linear,16,TOPSIS,0.25021945664236794,0.35701480099840166
"R1 (5 groups, m=10)",linear,17,TOPSIS,0.3746087700819369,0.47013501542845354
"R1 (5 groups, m=10)",linear,18,TOPSIS,0.25314726160974105,0.34236734680287023
"R1 (5 groups, m=10)",linear,19,TOPSIS,0.38569658526190476,0.5960366278249445
"R1 (5 groups, m=10)",linear,20,TOPSIS,0.3154415160821735,0.38567358249726863
"R1 (5 groups, m=10)",linear,21,TOPSIS,0.40530705218038005,0.45379726269665965
"R1 (5 groups, m=10)",linear,22,TOPSIS,0.4754125239392557,0.37896010429692184
"R1 (5 groups, m=10)",linear,23,TOPSIS,0.27463223321203795,0.4388723077943526
"R1 (5 groups, m=10)",linear,24,TOPSIS,0.3624599410707669,0.4730456705161525
"R1 (5 groups, m=10)",linear,25,TOPSIS,0.30849103931988126,0.4584851870061568
"R1 (5 groups, m=10)",linear,26,TOPSIS,0.45436206364486437,0.4892362395328102
"R1 (5 groups, m=10)",linear,27,TOPSIS,0.34552261539636403,0.3022687306984106
"R1 (5 groups, m=10)",linear,28,TOPSIS,0.46850571709291183,0.46705719479240265
"R1 (5 groups, m=10)",linear,29,TOPSIS,0.3731982117181143,0.5959310157588612
"R1 (5 groups, m=10)",linear,0,CP,0.38636074632514,0.49251227325951324
"R1 (5 groups, m=10)",linear,1,CP,0.3462665337887976,0.3951187015646931
"R1 (5 groups, m=10)",linear,2,CP,0.33467625690519925,0.35193283850077833
"R1 (5 groups, m=10)",linear,3,CP,0.37335453360460663,0.2529037050096203
"R1 (5 groups, m=10)",linear,4,CP,0.2877583614088892,0.3050822084428168
"R1 (5 groups, m=10)",linear,5,CP,0.4110866565428592,0.43894442086388086
"R1 (5 groups, m=10)",linear,6,CP,0.31035180727976347,0.2899815411070202
"R1 (5 groups, m=10)",linear,7,CP,0.42876223033810373,0.3808148061282532
"R1 (5 groups, m=10)",linear,8,CP,0.32072970329036893,0.3516991317226976
"R1 (5 groups, m=10)",linear,9,CP,0.4457136842452523,0.42691949102154436
"R1 (5 groups, m=10)",linear,10,CP,0.40282569488428943,0.3890014398800424
"R1 (5 groups, m=10)",linear,11,CP,0.3950287348573598,0.5196930293286465
"R1 (5 groups, m=10)",linear,12,CP,0.17941690338880636,0.349624955464499
"R1 (5 groups, m=10)",linear,13,CP,0.3534369073224722,0.41942668830782914
"R1 (5 groups, m=10)",linear,14,CP,0.21736686163899052,0.2777374254740066
"R1 (5 groups, m=10)",linear,15,CP,0.2701586975884653,0.3509470621988078
"R1 (5 groups, m=10)",linear,16,CP,0.22879399297047096,0.3276022371311332
"R1 (5 groups, m=10)",linear,17,CP,0.38509758180331116,0.3627657922005795
"R1 (5 groups, m=10)",linear,18,CP,0.25314726160974105,0.34236734680287023
"R1 (5 groups, m=10)",linear,19,CP,0.23226865209416744,0.318090194455554
"R1 (5 groups, m=10)",linear,20,CP,0.3154415160821735,0.38567358249726863
"R1 (5 groups, m=10)",linear,21,CP,0.40530705218038005,0.45379726269665965
"R1 (5 groups, m=10)",linear,22,CP,0.4754125239392557,0.37896010429692184
"R1 (5 groups, m=10)",linear,23,CP,0.27463223321203795,0.4388723077943526
"R1 (5 groups, m=10)",linear,24,CP,0.3624599410707669,0.4730456705161525
"R1 (5 groups, m=10)",linear,25,CP,0.2895749498134849,0.33371360059669875
"R1 (5 groups, m=10)",linear,26,CP,0.26618245990148603,0.4311147640026615
"R1 (5 groups, m=10)",linear,27,CP,0.34552261539636403,0.3022687306984106
"R1 (5 groups, m=10)",linear,28,CP,0.3023320465244857,0.31623494271765273
"R1 (5 groups, m=10)",linear,29,CP,0.24405700284362197,0.34398739899211833
"R1 (5 groups, m=10)",linear,0,Knee,0.38636074632514,0.49251227325951324
"R1 (5 groups, m=10)",linear,1,Knee,0.2855264875693135,0.7049443201260145
"R1 (5 groups, m=10)",linear,2,Knee,0.22507341566289732,0.5823843712252008
"R1 (5 groups, m=10)",linear,3,Knee,0.37335453360460663,0.2529037050096203
"R1 (5 groups, m=10)",linear,4,Knee,0.2877583614088892,0.3050822084428168
"R1 (5 groups, m=10)",linear,5,Knee,0.40842874706450566,0.9454501875939567
"R1 (5 groups, m=10)",linear,6,Knee,0.2789576980746674,0.5430416961298739
"R1 (5 groups, m=10)",linear,7,Knee,0.42876223033810373,0.3808148061282532
"R1 (5 groups, m=10)",linear,8,Knee,0.29411519624949284,0.6205029734765277
"R1 (5 groups, m=10)",linear,9,Knee,0.4457136842452523,0.42691949102154436
"R1 (5 groups, m=10)",linear,10,Knee,0.40282569488428943,0.3890014398800424
"R1 (5 groups, m=10)",linear,11,Knee,0.3175105590498602,0.8389574473773617
"R1 (5 groups, m=10)",linear,12,Knee,0.17941690338880636,0.349624955464499
"R1 (5 groups, m=10)",linear,13,Knee,0.5472115742977951,0.6841877148490912
"R1 (5 groups, m=10)",linear,14,Knee,0.5799756409384089,0.727107671045196
"R1 (5 groups, m=10)",linear,15,Knee,0.2701586975884653,0.3509470621988078
"R1 (5 groups, m=10)",linear,16,Knee,0.1989731264682044,0.5075545285770958
"R1 (5 groups, m=10)",linear,17,Knee,0.38509758180331116,0.3627657922005795
"R1 (5 groups, m=10)",linear,18,Knee,0.25314726160974105,0.34236734680287023
"R1 (5 groups, m=10)",linear,19,Knee,0.23226865209416744,0.318090194455554
"R1 (5 groups, m=10)",linear,20,Knee,0.3154415160821735,0.38567358249726863
"R1 (5 groups, m=10)",linear,21,Knee,0.40530705218038005,0.45379726269665965
"R1 (5 groups, m=10)",linear,22,Knee,0.23402554613684026,0.5422164869695243
"R1 (5 groups, m=10)",linear,23,Knee,0.5471759889947972,0.8072856038323888
"R1 (5 groups, m=10)",linear,24,Knee,0.3624599410707669,0.4730456705161525
"R1 (5 groups, m=10)",linear,25,Knee,0.2415941536682841,0.48600543061598056
"R1 (5 groups, m=10)",linear,26,Knee,0.26618245990148603,0.4311147640026615
"R1 (5 groups, m=10)",linear,27,Knee,0.5682020078867428,0.7659250054068931
"R1 (5 groups, m=10)",linear,28,Knee,0.2790674958923082,0.4237083473731603
"R1 (5 groups, m=10)",linear,29,Knee,0.24405700284362197,0.34398739899211833
"R1 (5 groups, m=10)",linear,0,RW,0.38636074632514,0.49251227325951324
"R1 (5 groups, m=10)",linear,1,RW,0.4412983629379121,0.8006756794271401
"R1 (5 groups, m=10)",linear,2,RW,0.33467625690519925,0.35193283850077833
"R1 (5 groups, m=10)",linear,3,RW,0.37335453360460663,0.2529037050096203
